nome,link
PLD_MEDIA_SEMANAL,https://dadosabertos.ccee.org.br/dataset/pld_media_semanal
FATOR_ALAVANCAGEM,https://dadosabertos.ccee.org.br/dataset/fator_alavancagem
PLD_MEDIA_DIARIA,https://dadosabertos.ccee.org.br/dataset/pld_media_diaria
PLD_HORARIO,https://dadosabertos.ccee.org.br/dataset/pld_horario
PENALIDADE_CONSUMO_HORARIO,https://dadosabertos.ccee.org.br/dataset/penalidade_consumo_horario
PENALIDADE_PRECO_MENSAL,https://dadosabertos.ccee.org.br/dataset/penalidade_preco_mensal
RD_ATEND_PROD_PREVIO_HORARIO,https://dadosabertos.ccee.org.br/dataset/rd_atend_prod_previo_horario
RD_ATEND_PROD_CONTAB_HORARIO,https://dadosabertos.ccee.org.br/dataset/rd_atend_prod_contab_horario
CUSTO_VARIAVEL_UNITARIO_CONJUNTURAL,https://dadosabertos.ccee.org.br/dataset/custo_variavel_unitario_conjuntural
CUSTO_VARIAVEL_UNITARIO_ESTRUTURAL,https://dadosabertos.ccee.org.br/dataset/custo_variavel_unitario_estrutural
RD_ATEND_PROD_CONTAB_MENSAL,https://dadosabertos.ccee.org.br/dataset/rd_atend_prod_contab_mensal
RESERVA_CESSAO_BIO,https://dadosabertos.ccee.org.br/dataset/reserva_cessao_bio
MCSD_CEDENTE_CESSIONARIO,https://dadosabertos.ccee.org.br/dataset/mcsd_cedente_cessionario
MCSD_MONTANTE_REDUZIDO,https://dadosabertos.ccee.org.br/dataset/mcsd_montante_reduzido
MCSD_MONTANTE_RECEBIDO_LEILAO,https://dadosabertos.ccee.org.br/dataset/mcsd_montante_recebido_leilao
MCSD_MONTANTE_COMPENSADO_DEVOLVIDO,https://dadosabertos.ccee.org.br/dataset/mcsd_montante_compensado_devolvido
RD_ENCARGOS_PREVIA_HORARIO,https://dadosabertos.ccee.org.br/dataset/rd_encargos_previa_horario
RD_ENCARGOS_PREVIA_MENSAL,https://dadosabertos.ccee.org.br/dataset/rd_encargos_previa_mensal
RD_ATEND_PROD_PREVIO_MENSAL,https://dadosabertos.ccee.org.br/dataset/rd_atend_prod_previo_mensal
RESERVA_ENCARGO,https://dadosabertos.ccee.org.br/dataset/reserva_encargo
RESERVA_RECEITA_BIO_PCH_LEILAO,https://dadosabertos.ccee.org.br/dataset/reserva_receita_bio_pch_leilao
RESERVA_RECEITA_EOL_LEILAO,https://dadosabertos.ccee.org.br/dataset/reserva_receita_eol_leilao
URL_FATOR_ALAVANCAGEM,https://dadosabertos.ccee.org.br/dataset/url_fator_alavancagem
SUMARIO_MENSAL_LIQUIDACAO,https://dadosabertos.ccee.org.br/dataset/sumario_mensal_liquidacao
USINA_COTISTA_LIQUIDACAO_PARCELA,https://dadosabertos.ccee.org.br/dataset/usina_cotista_liquidacao_parcela
USINA_COTISTA_CEG_DISTRIBUIDOR,https://dadosabertos.ccee.org.br/dataset/usina_cotista_ceg_distribuidor
USINA_COTISTA_NUCLEAR,https://dadosabertos.ccee.org.br/dataset/usina_cotista_nuclear
CUSTO_VARIAVEL_UNITARIO_CONJUNTURAL_REVISADO,https://dadosabertos.ccee.org.br/dataset/custo_variavel_unitario_conjuntural_revisado
CUSTO_VARIAVEL_UNITARIO_MERCHANT,https://dadosabertos.ccee.org.br/dataset/custo_variavel_unitario_merchant
RGR_DEMONSTRATIVO_SAIDA,https://dadosabertos.ccee.org.br/dataset/rgr_demonstrativo_saida
RGR_DEMONSTRATIVO_ENTRADA,https://dadosabertos.ccee.org.br/dataset/rgr_demonstrativo_entrada
CCC_DEMONSTRATIVO_SAIDA,https://dadosabertos.ccee.org.br/dataset/ccc_demonstrativo_saida
GERACAO_HORARIA_USINA,https://dadosabertos.ccee.org.br/dataset/geracao_horaria_usina
CONSUMO_HORARIO_PERFIL_AGENTE,https://dadosabertos.ccee.org.br/dataset/consumo_horario_perfil_agente
PARCELA_CARGA_CONSUMO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo
MONTANTE_MENSAL_MCP_AGENTE,https://dadosabertos.ccee.org.br/dataset/montante_mensal_mcp_agente
RESERVA_SALDO_CONER,https://dadosabertos.ccee.org.br/dataset/reserva_saldo_coner
ENERGIA_RESERVA_LIQUIDACAO,https://dadosabertos.ccee.org.br/dataset/energia_reserva_liquidacao
SUMARIO_MENSAL_AJUSTE,https://dadosabertos.ccee.org.br/dataset/sumario_mensal_ajuste
LEILAO_ACR_PCH,https://dadosabertos.ccee.org.br/dataset/leilao_acr_pch
RRH_GERACAO_HORARIA,https://dadosabertos.ccee.org.br/dataset/rrh_geracao_horaria
CONSUMO_CLASSE_AGENTE,https://dadosabertos.ccee.org.br/dataset/consumo_classe_agente
GARANTIA_FISICA_LASTRO,https://dadosabertos.ccee.org.br/dataset/garantia_fisica_lastro
ALIVIO_PENALIDADE_DISTRIB_MENSAL,https://dadosabertos.ccee.org.br/dataset/alivio_penalidade_distrib_mensal
MRE_GF_MODULADA_USINA,https://dadosabertos.ccee.org.br/dataset/mre_gf_modulada_usina
CONTABILIZACAO_FATOR_AJUSTE_FINANCEIRO,https://dadosabertos.ccee.org.br/dataset/contabilizacao_fator_ajuste_financeiro
CONTABILIZACAO_MONTANTE_PERFIL_AGENTE,https://dadosabertos.ccee.org.br/dataset/contabilizacao_montante_perfil_agente
DISPONIBILIDADE_LEILAO_GF_GERACAO,https://dadosabertos.ccee.org.br/dataset/disponibilidade_leilao_gf_geracao
RRH_AGENTE,https://dadosabertos.ccee.org.br/dataset/rrh_agente
CONTRATO_MONTANTE_MENSAL_CBR,https://dadosabertos.ccee.org.br/dataset/contrato_montante_mensal_cbr
ENERGIA_INCENTIVADA_CLASSE,https://dadosabertos.ccee.org.br/dataset/energia_incentivada_classe
LEILAO_ACR_EOL,https://dadosabertos.ccee.org.br/dataset/leilao_acr_eol
CONSUMO_MENSAL_PERFIL_AGENTE,https://dadosabertos.ccee.org.br/dataset/consumo_mensal_perfil_agente
VAREJISTA_SUBCLASSE,https://dadosabertos.ccee.org.br/dataset/varejista_subclasse
ENCARGO_IMPORTACAO_GERACAO,https://dadosabertos.ccee.org.br/dataset/encargo_importacao_geracao
CONTRATO_MONTANTE_SUBMERCADO_ENTREGA_CCEARQ,https://dadosabertos.ccee.org.br/dataset/contrato_montante_submercado_entrega_ccearq
GERACAO_HORARIA_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/geracao_horaria_submercado
GERACAO_FONTE_DESPACHO,https://dadosabertos.ccee.org.br/dataset/geracao_fonte_despacho
SUMARIO_MENSAL_RESULTADO,https://dadosabertos.ccee.org.br/dataset/sumario_mensal_resultado
CCEAR_BALANCO_ENERGETICO_MENSAL,https://dadosabertos.ccee.org.br/dataset/ccear_balanco_energetico_mensal
GARANTIA_FISICA_FONTE,https://dadosabertos.ccee.org.br/dataset/garantia_fisica_fonte
BIOMASSA_FONTE_GERACAO,https://dadosabertos.ccee.org.br/dataset/biomassa_fonte_geracao
REPASSE_RISCO_HIDROLOGICO,https://dadosabertos.ccee.org.br/dataset/repasse_risco_hidrologico
BIOMASSA_GERACAO_ACR_ACL_MODALIDADE,https://dadosabertos.ccee.org.br/dataset/biomassa_geracao_acr_acl_modalidade
CONTRATO_MONTANTE_CLASSE,https://dadosabertos.ccee.org.br/dataset/contrato_montante_classe
EOLICA_GERACAO_ACR_ACL,https://dadosabertos.ccee.org.br/dataset/eolica_geracao_acr_acl
RESERVA_RECEITA_LEILAO_SOL,https://dadosabertos.ccee.org.br/dataset/reserva_receita_leilao_sol
FOTOVOLTAICA_LEILAO_ACR,https://dadosabertos.ccee.org.br/dataset/fotovoltaica_leilao_acr
GERACAO_HORARIA_FONTE_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/geracao_horaria_fonte_submercado
CCEN_VALOR_LIQUIDAR,https://dadosabertos.ccee.org.br/dataset/ccen_valor_liquidar
CONTRATO_MONTANTE_MENSAL_TIPO,https://dadosabertos.ccee.org.br/dataset/contrato_montante_mensal_tipo
CONTRATO_MONTANTE_MENSAL_CLASSE_VENDEDOR,https://dadosabertos.ccee.org.br/dataset/contrato_montante_mensal_classe_vendedor
CONSUMO_MENSAL_AMBIENTE_COMERCIALIZACAO,https://dadosabertos.ccee.org.br/dataset/consumo_mensal_ambiente_comercializacao
CCGF_RESULTADO_MENSAL,https://dadosabertos.ccee.org.br/dataset/ccgf_resultado_mensal
CONSUMO_HORARIO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/consumo_horario_submercado
AGENTE_QTD_CONTABILIZACAO,https://dadosabertos.ccee.org.br/dataset/agente_qtd_contabilizacao
BIOMASSA_PROINFA,https://dadosabertos.ccee.org.br/dataset/biomassa_proinfa
GERACAO_HORARIA,https://dadosabertos.ccee.org.br/dataset/geracao_horaria
ITAIPU_BALANCO_ENERGETICO_MENSAL,https://dadosabertos.ccee.org.br/dataset/itaipu_balanco_energetico_mensal
CONTRATO_MONTANTE_COMPRA_VENDA_PERFIL_AGENTE,https://dadosabertos.ccee.org.br/dataset/contrato_montante_compra_venda_perfil_agente
MRE_HORARIO,https://dadosabertos.ccee.org.br/dataset/mre_horario
SUMARIO_MENSAL_COMPRA_VENDA_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/sumario_mensal_compra_venda_submercado
ENCARGO_HORARIO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/encargo_horario_submercado
ITAIPU_RESULTADO_MENSAL,https://dadosabertos.ccee.org.br/dataset/itaipu_resultado_mensal
BIOMASSA_GF_DEFINIDA,https://dadosabertos.ccee.org.br/dataset/biomassa_gf_definida
BIOMASSA_ACL,https://dadosabertos.ccee.org.br/dataset/biomassa_acl
GARANTIA_FISICA_SAZO_LASTRO,https://dadosabertos.ccee.org.br/dataset/garantia_fisica_sazo_lastro
MRE_MENSAL,https://dadosabertos.ccee.org.br/dataset/mre_mensal
RESERVA_RECEITA_LEILAO_PCH_CGH,https://dadosabertos.ccee.org.br/dataset/reserva_receita_leilao_pch_cgh
PROINFA_EOL,https://dadosabertos.ccee.org.br/dataset/proinfa_eol
LISTA_PERFIL_V1,https://dadosabertos.ccee.org.br/dataset/lista_perfil_v1
SUMARIO_DISTRIB_MENSAL,https://dadosabertos.ccee.org.br/dataset/sumario_distrib_mensal
CONTRATO_MONTANTE_MENSAL_LEILAO,https://dadosabertos.ccee.org.br/dataset/contrato_montante_mensal_leilao
RRH_REPASSE,https://dadosabertos.ccee.org.br/dataset/rrh_repasse
EOLICA_GF_DEFINIDA,https://dadosabertos.ccee.org.br/dataset/eolica_gf_definida
EXPOSICAO_FINANCEIRA_MENSAL,https://dadosabertos.ccee.org.br/dataset/exposicao_financeira_mensal
GARANTIA_FISICA_SAZO_MRE_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/garantia_fisica_sazo_mre_submercado
FOTOVOLTAICA_GF_DEFINIDA,https://dadosabertos.ccee.org.br/dataset/fotovoltaica_gf_definida
CCEAR_RESULTADO_MENSAL,https://dadosabertos.ccee.org.br/dataset/ccear_resultado_mensal
CCGF_CONT_SAZONALIZADO,https://dadosabertos.ccee.org.br/dataset/ccgf_cont_sazonalizado
PERDA_RB_HORARIO,https://dadosabertos.ccee.org.br/dataset/perda_rb_horario
PCH_PROINFA,https://dadosabertos.ccee.org.br/dataset/pch_proinfa
GERACAO_FONTE_PRIMARIA,https://dadosabertos.ccee.org.br/dataset/geracao_fonte_primaria
RECEITA_VENDA_DISTRIBUIDOR_COTA_NUCLEAR,https://dadosabertos.ccee.org.br/dataset/receita_venda_distribuidor_cota_nuclear
PLD_HORARIO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/pld_horario_submercado
ENERGIA_INCENTIVADA_MENSAL,https://dadosabertos.ccee.org.br/dataset/energia_incentivada_mensal
FOTOVOLTAICA_ACL,https://dadosabertos.ccee.org.br/dataset/fotovoltaica_acl
PCH_CGH_GF_DEFINIDA,https://dadosabertos.ccee.org.br/dataset/pch_cgh_gf_definida
CONTRATO_MONTANTE_SUBMERCADO_HORARIO,https://dadosabertos.ccee.org.br/dataset/contrato_montante_submercado_horario
MCSD_RESULTADO_MENSAL,https://dadosabertos.ccee.org.br/dataset/mcsd_resultado_mensal
ENERGIA_RESERVA_CONSUMO_REFERENCIA,https://dadosabertos.ccee.org.br/dataset/energia_reserva_consumo_referencia
CCEN_BALANCO_ENERGETICO_MENSAL,https://dadosabertos.ccee.org.br/dataset/ccen_balanco_energetico_mensal
BIOMASSA_LEILAO,https://dadosabertos.ccee.org.br/dataset/biomassa_leilao
GERACAO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/geracao_submercado
RRH_GERACAO_SUBMERCADO_HORARIA,https://dadosabertos.ccee.org.br/dataset/rrh_geracao_submercado_horaria
ENERGIA_DISTRIB_HORARIO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/energia_distrib_horario_submercado
RRV_MENSAL,https://dadosabertos.ccee.org.br/dataset/rrv_mensal
BIOMASSA_SUBMERCADO_UF,https://dadosabertos.ccee.org.br/dataset/biomassa_submercado_uf
PROINFA_USINA,https://dadosabertos.ccee.org.br/dataset/proinfa_usina
ENERGIA_RESERVA_MENSAL_LEILAO,https://dadosabertos.ccee.org.br/dataset/energia_reserva_mensal_leilao
CCEN_CUSTO_CAFT,https://dadosabertos.ccee.org.br/dataset/ccen_custo_caft
PCH_ACL,https://dadosabertos.ccee.org.br/dataset/pch_acl
CONTRATO_MONTANTE_PERIODO,https://dadosabertos.ccee.org.br/dataset/contrato_montante_periodo
CCEN_RESULTADO_MENSAL,https://dadosabertos.ccee.org.br/dataset/ccen_resultado_mensal
CCGF_BALANCO_ENERGETICO_MENSAL,https://dadosabertos.ccee.org.br/dataset/ccgf_balanco_energetico_mensal
QTD_HORA_MES,https://dadosabertos.ccee.org.br/dataset/qtd_hora_mes
PENALIDADE_CLASSE_MENSAL,https://dadosabertos.ccee.org.br/dataset/penalidade_classe_mensal
ACL_EOL,https://dadosabertos.ccee.org.br/dataset/acl_eol
CONTRATO_MONTANTE_MOD_PROINFA_AGENTE,https://dadosabertos.ccee.org.br/dataset/contrato_montante_mod_proinfa_agente
SUMARIO_BE_HORARIO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/sumario_be_horario_submercado
GERACAO_CONSOLIDADA,https://dadosabertos.ccee.org.br/dataset/geracao_consolidada
GARANTIA_FISICA_SAZO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/garantia_fisica_sazo_submercado
PERDA_RB_MES,https://dadosabertos.ccee.org.br/dataset/perda_rb_mes
FOTOVOLTAICA_GERACAO_ACR_ACL,https://dadosabertos.ccee.org.br/dataset/fotovoltaica_geracao_acr_acl
GERACAO_FONTE_SUB_ESTADO_MENSAL,https://dadosabertos.ccee.org.br/dataset/geracao_fonte_sub_estado_mensal
RESERVA_INADIMPLENCIA,https://dadosabertos.ccee.org.br/dataset/reserva_inadimplencia
PLD_MEDIA_MENSAL,https://dadosabertos.ccee.org.br/dataset/pld_media_mensal
LISTA_PERFIL,https://dadosabertos.ccee.org.br/dataset/lista_perfil
VAREJISTA_CONSUMIDOR,https://dadosabertos.ccee.org.br/dataset/varejista_consumidor
DISPONIBILIDADE_LEILAO_RECEITA,https://dadosabertos.ccee.org.br/dataset/disponibilidade_leilao_receita
CONSUMO_RAMO_ATIVIDADE,https://dadosabertos.ccee.org.br/dataset/consumo_ramo_atividade
PARCELA_CONSUMO_RAMO_ATIVIDADE,https://dadosabertos.ccee.org.br/dataset/parcela_consumo_ramo_atividade
PARCELA_USINA_MONTANTE_MENSAL,https://dadosabertos.ccee.org.br/dataset/parcela_usina_montante_mensal
RD_ENCARGOS_CONTAB_HORARIO,https://dadosabertos.ccee.org.br/dataset/rd_encargos_contab_horario
RD_ENCARGOS_CONTAB_MENSAL,https://dadosabertos.ccee.org.br/dataset/rd_encargos_contab_mensal
PLD_SOMBRA,https://dadosabertos.ccee.org.br/dataset/pld_sombra
PLD_FINAL_MEDIO,https://dadosabertos.ccee.org.br/dataset/pld_final_medio
PLD_FINAL_HISTORICO,https://dadosabertos.ccee.org.br/dataset/pld_final_historico
PLDX_VALOR_ANUAL,https://dadosabertos.ccee.org.br/dataset/pldx_valor_anual
CDE_DEMONSTRATIVO_SAIDA,https://dadosabertos.ccee.org.br/dataset/cde_demonstrativo_saida
CDE_DEMONSTRATIVO_ENTRADA,https://dadosabertos.ccee.org.br/dataset/cde_demonstrativo_entrada
CCC_DEMONSTRATIVO_ENTRADA,https://dadosabertos.ccee.org.br/dataset/ccc_demonstrativo_entrada
ENERGIA_INCENTIVADA_GF_FONTE,https://dadosabertos.ccee.org.br/dataset/energia_incentivada_gf_fonte
ENCARGO_ESS_ANCILAR,https://dadosabertos.ccee.org.br/dataset/encargo_ess_ancilar
ENCARGO_RECEBIDO_PERFIL_AGENTE_USINA,https://dadosabertos.ccee.org.br/dataset/encargo_recebido_perfil_agente_usina
ENCARGO_PGTO_MENSAL,https://dadosabertos.ccee.org.br/dataset/encargo_pgto_mensal
LISTA_PERMISSIONARIA_NAO_AGENTE,https://dadosabertos.ccee.org.br/dataset/lista_permissionaria_nao_agente
RD_DISP_DESPACHO_HORARIO_SANDBOX,https://dadosabertos.ccee.org.br/dataset/rd_disp_despacho_horario_sandbox
CCC_CTG_USINA_CCESI,https://dadosabertos.ccee.org.br/dataset/ccc_ctg_usina_ccesi
CCC_CTG_BENEFICIARIO,https://dadosabertos.ccee.org.br/dataset/ccc_ctg_beneficiario
RD_DISP_ENCARGO_HORARIO_SANDBOX,https://dadosabertos.ccee.org.br/dataset/rd_disp_encargo_horario_sandbox
RD_DISP_ENCARGO_PERFIL_MENSAL_SANDBOX,https://dadosabertos.ccee.org.br/dataset/rd_disp_encargo_perfil_mensal_sandbox
RD_DISP_ENCARGO_TOTAL_MENSAL_SANDBOX,https://dadosabertos.ccee.org.br/dataset/rd_disp_encargo_total_mensal_sandbox
RD_DISP_RECEITA_PENALIDADE_MENSAL_SANDBOX,https://dadosabertos.ccee.org.br/dataset/rd_disp_receita_penalidade_mensal_sandbox
CCC_CTG_USINA,https://dadosabertos.ccee.org.br/dataset/ccc_ctg_usina
RESERVA_PENALIDADE,https://dadosabertos.ccee.org.br/dataset/reserva_penalidade
SAZONALIZACAO_CCGF,https://dadosabertos.ccee.org.br/dataset/sazonalizacao_ccgf
SAZONALIZACAO_CONTRATO_CCEARQ,https://dadosabertos.ccee.org.br/dataset/sazonalizacao_contrato_ccearq
SAZONALIZACAO_MRE_GF_FATOR_AJUSTE,https://dadosabertos.ccee.org.br/dataset/sazonalizacao_mre_gf_fator_ajuste
SAZONALIZACAO_MRE_GF_MOTORIZACAO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/sazonalizacao_mre_gf_motorizacao_submercado
FATOR_AJUSTE_GF,https://dadosabertos.ccee.org.br/dataset/fator_ajuste_gf
